Generation,StartingEnergy,Speed,DetectRange,BreedEnergy,BabyEnergy,AttentionSpan,Desirability,DesirabilityThreshold,Lifespan,Age,BirthTime,COD
14,32.799393,0.3474662,47.66448,32.05624,12.144167,500.0,93.15133,4.2267394,6272,208,5689,Starvation
9,27.522339,0.4239788,56.43577,29.153143,16.400242,500.0,62.7795,6.435331,9272,1613,4303,Starvation
15,26.40443,0.36571103,39.198162,33.18758,16.784124,500.0,99.965935,7.6878138,8731,430,5519,Starvation
4,31.409212,0.30961132,72.40449,29.389374,19.269928,500.0,79.040726,5.5279727,7409,2487,3473,Starvation
15,36.05918,0.24395455,64.502594,25.561916,13.387405,500.0,109.41768,4.03353,6476,228,5763,Starvation
15,30.281925,0.21387407,52.964024,28.606672,10.738621,500.0,116.74541,5.552536,8303,447,5583,Starvation
21,38.896324,0.35449612,45.27991,28.768951,23.693214,500.0,135.62148,5.7388144,6556,167,5869,Starvation
17,34.974724,0.307638,61.76879,34.256294,20.841412,500.0,136.4156,4.849277,8279,393,5647,Starvation
2,31.633453,0.28566447,73.49863,28.13959,12.818701,500.0,64.019104,5.652596,9255,4664,1402,Starvation
18,36.92502,0.44963485,61.507404,28.797876,13.655172,500.0,135.03955,6.180287,6058,438,5631,Starvation
14,24.373602,0.42724076,32.806644,28.260857,10.998198,500.0,127.39842,4.7859674,3851,1335,4749,Starvation
16,34.96804,0.25580993,57.63172,31.897644,18.76215,500.0,122.48066,4.222571,7528,538,5586,Starvation
16,32.447857,0.2865699,44.35243,36.01429,17.130707,500.0,127.02138,6.0595245,8984,405,5758,Starvation
15,28.446796,0.20484498,59.54827,20.145168,15.483418,500.0,113.21889,6.4236755,9724,536,5659,Starvation
19,42.397446,0.34733024,42.66518,31.71774,20.415237,500.0,149.78009,6.9291887,5365,471,5751,Starvation
20,38.033047,0.21555114,37.85037,27.041914,17.52195,500.0,167.59372,4.560119,4678,457,5768,Starvation
23,40.608093,0.22460425,36.163296,30.423746,19.001226,500.0,184.97585,4.030353,7122,218,6077,Starvation
16,32.23299,0.3259039,58.73074,31.058926,15.6608715,500.0,124.14628,4.5534134,4204,574,5724,Starvation
22,41.196114,0.50938463,39.151222,37.431923,21.042793,500.0,129.0797,5.2231007,5345,203,6134,Starvation
21,34.91095,0.2699882,32.740353,23.896797,17.762161,500.0,145.32571,3.6925328,6667,173,6182,Starvation
21,36.17151,0.26443902,49.588543,28.584286,21.787714,500.0,201.72154,4.986578,4776,145,6246,Starvation
10,33.88536,0.34004995,44.046814,23.811008,14.16151,500.0,87.67217,4.9080195,6778,1949,4447,Starvation
18,33.150448,0.32356745,67.74176,30.842072,15.283576,500.0,65.89591,5.1306314,8967,430,6004,Starvation
16,35.531082,0.30443943,52.29686,38.27817,21.948843,500.0,102.63229,6.199229,8997,357,6078,Starvation
22,44.55769,0.39007232,39.141525,30.017664,23.973259,500.0,187.91403,6.113912,8101,468,5982,Starvation
18,36.508476,0.27873302,64.47358,27.754711,15.020592,500.0,92.03139,5.49318,5561,716,5741,Starvation
22,37.305412,0.28943348,49.01133,28.753014,20.87053,500.0,183.56857,3.9604433,6404,457,6049,Starvation
21,41.030098,0.32236257,47.49446,45.92176,23.824196,500.0,156.90099,4.9008007,6450,424,6109,Starvation
16,22.471354,0.22385497,33.374958,27.342781,10.663477,500.0,135.37447,4.9241276,5292,906,5635,Starvation
21,39.11988,0.38616604,59.368484,26.044949,24.905346,500.0,154.949,5.287205,7185,645,5907,Starvation
25,42.53173,0.22650151,32.06396,24.143637,20.261906,500.0,238.44572,7.379015,10523,224,6328,Starvation
12,33.0625,0.47465625,62.93472,33.828953,22.003181,500.0,66.961754,5.2578144,8354,1642,4931,Starvation
19,32.839394,0.22567995,42.295387,27.64297,19.970192,500.0,118.60595,5.934887,5244,880,5714,Starvation
20,28.780624,0.20187663,54.604168,20.335403,12.684224,500.0,116.90742,4.416841,4921,662,5936,Starvation
14,26.509705,0.22245121,50.98292,22.771576,12.391814,500.0,130.96701,4.6966276,8759,1147,5532,Starvation
11,37.24025,0.4687765,33.240646,31.272219,19.708012,500.0,82.84625,3.14252,4928,1783,4897,Starvation
25,29.117666,0.44186398,28.682583,21.139778,17.436487,500.0,129.62622,5.21105,4372,118,6610,Starvation
17,26.322546,0.27574426,30.10897,30.55466,13.653385,500.0,142.63626,5.587672,7714,265,6484,Starvation
