Generation,StartingEnergy,Speed,DetectRange,BreedEnergy,BabyEnergy,AttentionSpan,Desirability,DesirabilityThreshold,Lifespan,Age
4,14.020827,0.50952196,62.69403,115.79243,7.08518,500.0,93.0977,6.5434217,4664,19037
4,19.142616,0.45760998,59.88747,125.622475,8.996262,500.0,67.78874,6.449624,4773,17726
6,16.683084,0.55374867,48.860195,105.687386,8.208467,500.0,86.7889,6.1649685,5122,224
5,18.697422,0.43024328,54.974022,104.573746,9.700068,500.0,75.42465,6.441909,4301,18384
4,14.020827,0.49577707,57.29979,108.97903,7.728588,500.0,83.94785,7.523548,4730,22766
6,17.689241,0.51742655,57.27963,102.58363,8.686998,500.0,77.426636,6.5823755,4728,9752
7,16.970442,0.48660207,61.40138,102.019226,7.8933105,500.0,76.634224,6.7620997,4492,628
7,17.53421,0.4702098,54.17213,96.87249,8.852249,500.0,86.7971,6.5762186,4797,1969
3,10.966908,0.40761104,61.87725,101.87346,5.150556,500.0,73.579575,4.784643,6699,28148
2,29.025494,0.45294464,44.14696,99.1587,13.2301445,500.0,57.21195,6.3953977,5577,35692
7,17.130653,0.5042818,55.007057,93.630714,8.089873,500.0,91.07964,6.99661,4452,3030
6,17.21095,0.46799105,54.784122,111.566765,8.510552,500.0,75.24707,7.136903,4479,898
7,17.53421,0.47964785,51.641735,108.728714,8.308707,500.0,75.32631,7.4806557,4380,4635
7,16.415586,0.5518994,55.105255,105.85907,8.520294,500.0,84.69742,6.733101,4351,6354
8,15.828622,0.49429896,65.92432,100.01047,8.174443,500.0,84.165474,5.9179883,4557,346
8,16.26973,0.5627966,65.66496,104.4992,7.796152,500.0,69.48506,6.776869,5702,218
3,18.370111,0.42334467,56.318253,123.37588,10.261756,500.0,69.835335,6.1188874,4958,35339
3,18.370111,0.48672464,55.54046,107.61686,8.88086,500.0,78.425385,7.063941,4582,32274
5,14.813768,0.48400363,62.846634,121.81858,7.5933294,500.0,81.49234,6.5430465,4292,17192
9,17.985828,0.49910203,53.887817,96.22532,8.927759,500.0,69.086525,8.0378685,4178,508
9,17.985828,0.55261374,59.738846,113.89204,8.566581,500.0,82.90544,7.452187,4656,1175
6,16.43536,0.5129065,63.30412,115.893364,7.4922576,500.0,74.78098,6.661262,4234,3554
7,16.876469,0.4866914,66.850555,106.98781,8.56942,500.0,63.37088,7.194925,4674,5160
8,16.68804,0.48355833,57.22818,102.91951,9.101627,500.0,86.05844,7.6140723,4520,4624
4,17.87344,0.5028024,63.063663,98.964485,8.36374,500.0,75.659546,7.411855,4876,31433
8,17.985804,0.5694138,57.185925,95.43746,8.688395,500.0,77.93852,6.9347224,4334,5381
5,18.062271,0.5128215,50.57676,107.117874,8.954496,500.0,83.50496,6.127937,4747,17971
8,16.646448,0.48854443,58.65227,108.866066,8.557491,500.0,77.89772,7.2083693,4830,223
7,16.77755,0.49089715,62.118706,100.53483,8.239922,500.0,79.00567,7.0625114,4766,6758
5,17.2446,0.45690775,54.621357,109.80849,8.217048,500.0,71.96336,7.612416,4450,19431
8,17.443495,0.54405946,55.12262,90.81246,8.214082,500.0,86.66196,6.263807,4352,767
9,16.519333,0.56304294,62.3502,110.961426,7.786656,500.0,89.188835,6.2781982,4764,888
9,16.519333,0.5206199,55.68971,110.993774,7.4596295,500.0,93.173164,6.18287,4851,622
9,17.991009,0.57171327,60.81182,107.67899,9.782658,500.0,78.45076,6.702876,4534,775
8,16.896114,0.51521575,53.439682,109.26149,8.369582,500.0,74.207016,6.789566,5279,2493
9,17.204227,0.45379478,58.269596,95.59013,8.292459,500.0,86.86205,7.1169457,4579,364
5,18.093014,0.4871064,55.84139,106.207756,8.847211,500.0,85.40171,7.2911916,4886,26807
7,16.876469,0.48170254,59.346794,113.69296,8.020455,500.0,75.06926,7.283242,5144,360
9,16.281773,0.51384526,51.10538,108.11319,7.4922748,500.0,88.71647,7.366231,4383,485
8,17.600986,0.5846115,61.05553,97.22395,8.887462,500.0,88.49107,6.6152153,3977,2994
5,15.448919,0.4559926,66.677956,97.733574,8.002866,500.0,87.00116,6.628007,5160,16392
9,16.704407,0.5900435,57.59242,99.91787,8.1177635,500.0,81.22633,7.1790915,5333,358
8,16.841856,0.53332186,54.55094,103.191536,7.500917,500.0,89.55782,6.9576573,5400,359
7,17.174538,0.5027221,59.86343,102.727646,8.0181465,500.0,96.4524,7.0200543,4246,230
9,17.324612,0.5434779,58.343235,110.764565,7.9247665,500.0,90.14,6.3263865,4195,366
9,18.748726,0.47920275,61.3539,94.55269,9.176601,500.0,80.43726,7.17535,5472,651
5,16.297333,0.44398144,60.150673,122.13323,9.038155,500.0,84.38756,6.5325837,5184,23019
9,14.893019,0.5441035,56.84978,103.89505,7.3713326,500.0,72.500275,6.779335,4731,200
10,16.870672,0.5381139,61.06205,90.24951,8.608427,500.0,90.91357,7.2570896,4145,226
9,16.42712,0.52867895,55.354263,107.778854,8.060294,500.0,76.91233,6.698362,4934,1287
7,17.130653,0.5397088,58.312973,101.88632,8.51372,500.0,92.88022,7.258936,4600,14047
10,16.437338,0.6001426,60.173267,103.812065,7.763501,500.0,79.05728,7.8291516,4504,621
8,15.60951,0.5123037,54.61551,106.03321,7.5221686,500.0,68.07286,7.6469383,4857,2210
8,17.312233,0.55593973,55.75512,105.84038,8.337677,500.0,72.764366,6.2860646,5487,899
10,18.112537,0.48270458,63.396248,87.784065,9.814614,500.0,83.63585,7.2865224,5060,910
7,15.658926,0.5393176,61.220253,97.59105,7.5517373,500.0,91.580086,6.7424407,5237,13635
10,16.216015,0.5369646,58.96415,88.6766,7.8384333,500.0,95.348625,6.9860067,4547,1684
9,17.17399,0.60418355,61.63115,105.3182,8.644521,500.0,82.965965,6.3035755,4955,1297
9,17.985828,0.57149434,61.675568,94.23471,9.75552,500.0,69.78651,7.383403,4406,6986
9,15.262748,0.49168316,54.31397,105.93894,7.7550664,500.0,74.44129,6.523678,4343,2072
9,16.071083,0.5781997,56.661896,108.60414,8.406095,500.0,65.016136,7.4739714,4743,1416
9,17.350193,0.5642337,60.288086,90.24863,9.079225,500.0,78.09756,7.658506,4241,1566
10,16.94772,0.51062876,53.750465,106.03191,8.199553,500.0,94.8452,6.9680634,4560,1427
8,17.636868,0.46729752,62.539993,109.17264,9.216214,500.0,78.919945,7.1829896,5264,1570
8,15.83518,0.53461397,53.083702,106.07853,8.473812,500.0,95.74841,6.832292,4974,10062
9,15.268416,0.61258423,62.047005,99.14026,8.040402,500.0,78.30105,6.655252,4724,205
9,17.664762,0.52397776,58.694527,104.40101,8.096343,500.0,77.3043,6.1422033,5428,1437
8,16.08334,0.54361385,61.54262,92.561325,7.42935,500.0,77.95045,7.2442245,5241,1149
10,17.631872,0.5797245,55.165825,111.803024,8.931689,500.0,88.6311,5.9923396,4705,3970
10,18.072523,0.6214954,56.473976,94.437355,9.375153,500.0,76.77545,6.704233,4549,2149
8,18.236622,0.48487443,64.17603,111.35195,9.191362,500.0,77.37498,6.4373403,4515,3445
10,17.960785,0.57033724,64.33188,111.60889,9.769554,500.0,87.31737,7.4080176,4451,1841
9,18.362186,0.53486526,61.219402,93.72049,8.568131,500.0,89.784325,6.0462546,3992,2380
10,17.903862,0.542059,63.16388,90.708855,8.927606,500.0,79.35491,6.3695273,4338,1707
9,18.771915,0.5802572,61.68509,111.1414,9.157368,500.0,83.812,7.028164,5249,2252
3,17.049385,0.42540842,62.07955,94.53696,8.9925785,500.0,58.933796,7.2573423,5829,44832
9,18.044537,0.6131218,59.821133,114.58478,9.556757,500.0,86.95159,7.3246365,4475,5975
10,16.870672,0.5402763,61.948128,100.48895,9.207734,500.0,86.68613,7.515657,4207,4226
5,16.092327,0.53470767,61.653988,107.59663,8.842031,500.0,72.37879,7.02316,4415,28545
8,16.939995,0.5192994,55.303234,107.13917,8.351434,500.0,77.06857,7.028225,4500,16546
6,17.358288,0.5379206,62.544537,107.15403,8.891093,500.0,84.02592,7.249376,4495,23492
5,16.297333,0.5296065,62.66205,102.79579,8.516258,500.0,83.87718,6.6526427,4785,30093
8,17.301105,0.57205474,59.269936,93.64872,8.635578,500.0,84.39132,7.257031,4782,10363
8,16.637548,0.53885883,64.87662,102.16467,8.849564,500.0,75.93448,6.4047337,4944,9844
10,16.443007,0.5715516,58.6099,100.98627,8.528491,500.0,85.08722,7.4892917,4187,10429
8,17.126385,0.54450214,56.33297,106.81704,8.036646,500.0,76.11681,6.9152894,4619,13722
8,17.91085,0.48828584,58.08136,98.038086,8.499428,500.0,78.02336,6.8921785,4266,9946
7,16.82143,0.4860627,54.80629,101.18125,9.12061,500.0,82.240265,7.12893,4898,20916
10,17.792166,0.51173776,55.859253,100.53419,7.9585238,500.0,80.26677,6.420054,4589,10208
7,17.174538,0.5435229,63.24714,99.48923,8.206395,500.0,85.15239,7.36853,4742,23721
9,15.567702,0.59726244,54.609577,107.67682,8.287039,500.0,72.25431,6.8209443,4965,12458
6,15.93239,0.5241501,58.45564,100.499,7.930338,500.0,87.15019,6.6536145,5190,31758
7,17.125473,0.5367798,60.79106,97.66461,9.394592,500.0,80.69386,6.5649242,4086,23062
7,16.294079,0.5631803,58.631565,98.30358,8.235292,500.0,74.68333,6.4155703,5379,24863
8,18.684711,0.5496224,62.867374,98.9229,9.673807,500.0,75.94409,6.949934,4238,12299
7,16.617336,0.5196668,60.1624,102.00729,9.076941,500.0,73.840454,7.0424623,4746,26558
8,16.284195,0.5999926,65.261406,96.863884,7.3380785,500.0,77.15747,6.795313,4936,19548
8,16.939995,0.5942669,56.39814,91.47375,9.239585,500.0,74.531364,7.023879,4967,16995
8,16.518736,0.6019568,56.491013,106.81552,8.967595,500.0,88.358696,6.3992214,4432,21416
9,17.004242,0.5833069,60.695637,97.99665,8.909444,500.0,76.10109,7.1654515,4498,13776
6,15.93239,0.546849,56.52141,100.88878,8.283443,500.0,91.8163,6.8338175,4426,30779
6,17.397118,0.48895788,59.212547,107.33847,9.290119,500.0,82.80785,6.273478,4961,27097
9,14.670488,0.53394324,62.5467,103.416,7.6715546,500.0,81.846115,7.647212,4937,16812
8,15.642232,0.5686681,57.849228,116.00264,7.33241,500.0,76.37647,7.1824536,4532,24105
7,16.721436,0.5625885,58.636517,111.25025,7.5606084,500.0,64.90439,6.993773,5319,27501
10,16.594616,0.6074296,63.388542,91.14871,8.355718,500.0,91.56557,6.917544,4398,18917
9,16.17444,0.5028228,65.21576,116.27143,8.814605,500.0,67.2456,6.698797,4371,16949
6,17.20577,0.5243445,65.1543,107.22577,8.034437,500.0,67.32128,6.850303,4966,33676
8,16.890934,0.5645569,57.391487,100.4164,9.143799,500.0,81.988205,7.551163,4334,30240
9,14.889816,0.52630126,68.49533,103.645775,7.1953764,500.0,82.35135,6.710327,4835,20934
8,16.08334,0.50924325,61.977634,97.99446,7.621125,500.0,71.766396,7.274333,4745,20799
7,17.05074,0.52527297,63.79985,103.59658,9.09471,500.0,77.1261,7.50423,5214,35047
9,17.483852,0.53463024,64.35702,101.65643,8.534107,500.0,90.24688,6.1385217,4566,20154
8,16.628677,0.5769385,66.55912,101.378845,7.637691,500.0,83.50623,6.953935,4869,22150
10,17.180534,0.5076807,65.85706,108.180374,8.294503,500.0,96.72443,6.327148,4269,20118
9,16.432789,0.532278,65.68559,105.245964,7.60124,500.0,84.22499,6.522443,4954,22901
9,17.192701,0.5686367,60.07476,105.43355,9.2480545,500.0,79.204445,7.035019,4450,23574
10,16.224886,0.5469571,56.107983,98.33658,7.341183,500.0,70.36459,7.2062016,4588,24903
8,17.629885,0.56959814,62.779324,107.065125,9.628117,500.0,76.61177,6.1265044,5230,29757
7,17.52903,0.5559899,60.478416,94.70751,8.0489025,500.0,76.7019,6.961583,4915,40541
