Generation,StartingEnergy,Speed,DetectRange,BreedEnergy,BabyEnergy,AttentionSpan,Desirability,DesirabilityThreshold,Lifespan,Age,BirthTime,COD
2,10.492834,0.19242099,22.79408,42.1155,6.213161,500.0,53.39099,2.9705675,6686,106,84,Starvation
2,22.117634,0.10853642,27.267921,76.93438,11.773208,500.0,59.814793,5.720996,14608,223,140,Starvation
2,43.50589,0.1627204,15.888969,42.590347,18.828499,500.0,87.53742,7.333144,8878,248,129,Starvation
2,26.024048,0.3861949,16.897814,63.058147,12.76913,500.0,56.915314,8.023359,15718,462,92,Starvation
2,47.117634,0.1254904,37.92217,28.425741,24.067118,500.0,62.610664,3.2245574,15908,232,414,Starvation
2,56.77276,0.23439184,54.001526,56.67019,34.127304,500.0,24.731417,4.7384562,6586,669,75,Starvation
2,45.49597,0.21909082,77.851494,18.109055,18.109055,500.0,78.45044,1.9056201,7835,556,191,Starvation
2,43.79929,0.38572565,59.8781,42.791775,27.197186,500.0,69.1018,6.310784,8811,639,132,Starvation
3,54.563087,0.3160544,70.59734,34.93512,28.304565,500.0,72.49953,1.6825264,10188,264,559,Starvation
2,57.190353,0.36760297,63.602283,46.83352,34.048546,500.0,84.96979,4.4487896,5553,773,79,Starvation
2,59.49597,0.21323979,86.6735,30.67003,22.893293,500.0,53.376606,0.5420891,9798,368,528,Starvation
4,60.702766,0.3450944,49.10562,42.554596,35.492603,500.0,57.08412,6.148525,10392,454,456,Starvation
2,52.17435,0.047841422,32.881256,57.822647,27.59255,500.0,32.011322,8.688596,10376,623,408,Starvation
4,43.304565,0.124466,56.625282,28.878225,16.349072,500.0,56.28572,2.2405457,9670,271,799,Starvation
2,60.583473,0.29292014,60.95942,50.186783,23.329231,500.0,78.67141,5.166504,12639,1007,134,Starvation
3,37.893295,0.118208125,70.85074,18.064215,18.064215,500.0,70.5257,1.7864702,9764,300,859,Starvation
2,49.141533,0.32129428,36.861393,46.14489,18.32743,500.0,13.712407,5.912151,5173,793,409,Starvation
5,55.692177,0.2323442,52.358353,39.27863,33.976555,500.0,68.84822,5.0691547,7654,758,563,Starvation
